,Unnamed: 0,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr,Count_normalized
12459,12459,DNA gyrase B,Ribonuclease B OB domain,4,119,167,6.750381051485462e-06,3.188888028365659e-05,1.61
5529,5529,"Arginine repressor, C-terminal domain","Filamentation induced by cAMP protein Fic-like, C-terminal domain",2,36,18,6.769783563845184e-06,3.195863350448102e-05,1.1
5530,5530,"Arginine repressor, DNA binding domain","Filamentation induced by cAMP protein Fic-like, C-terminal domain",2,36,18,6.769783563845184e-06,3.195863350448102e-05,1.1
13671,13671,NMT1/THI5 like,Replicase family,2,36,18,6.769783563845184e-06,3.195863350448102e-05,1.1
16304,16304,D5 N terminal like,"HB1, ASXL, restriction endonuclease HTH domain",4,482,42,6.779563004656498e-06,3.198737780916398e-05,1.61
9978,9978,RHS protein,von Willebrand factor type A domain,4,58,346,6.780513466052412e-06,3.198737780916398e-05,1.61
16309,16309,D5 N terminal like,Mrr N-terminal domain,4,482,42,6.779563004656498e-06,3.198737780916398e-05,1.61
11427,11427,AAA domain,Helix-hairpin-helix motif,15,1791,349,6.795497452829998e-06,3.205075292704514e-05,2.77
12721,12721,Glycosyl transferase family 41,Tetratricopeptide repeat,6,55,1407,6.84130042207511e-06,3.225942276562076e-05,1.95
3823,3823,BED zinc finger,Tc5 transposase DNA-binding domain,2,84,8,6.856736312616652e-06,3.23101040875056e-05,1.1
14320,14320,Domain of unknown function (DUF4328),zinc-ribbon domain,2,8,84,6.856736312616654e-06,3.23101040875056e-05,1.1
9801,9801,"Inner membrane component of T3SS, cytoplasmic domain",zinc-ribbon domain,2,8,84,6.856736312616654e-06,3.23101040875056e-05,1.1
8081,8081,BspA type Leucine rich repeat region (6 copies),PQQ enzyme repeat,7,1981,60,6.869933987873394e-06,3.236491799208434e-05,2.08
4302,4302,Polysaccharide biosynthesis/export protein,Protein kinase domain,5,57,773,6.880870894185576e-06,3.2409058651269965e-05,1.79
5374,5374,Glycosyl transferase family 8,Periplasmic binding proteins and sugar binding domain of LacI family,3,38,160,6.908300425753012e-06,3.252343531495788e-05,1.39
4136,4136,Cna protein B-type domain,Right handed beta helix region,7,339,340,6.908149671967804e-06,3.252343531495788e-05,2.08
9569,9569,"Prephenate dehydrogenase, nucleotide-binding domain",TRAM domain,3,84,72,6.943668386791211e-06,3.2675064004024094e-05,1.39
9570,9570,"Prephenate dehydrogenase, dimerization domain",TRAM domain,3,84,72,6.943668386791211e-06,3.2675064004024094e-05,1.39
9602,9602,Carbohydrate binding module (family 35),"Glycosyl hydrolases family 2, sugar binding domain",4,88,228,6.9522491382994925e-06,3.270799896077784e-05,1.61
84,84,"Cytosol aminopeptidase family, N-terminal domain","Orn/Lys/Arg decarboxylase, C-terminal domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05,1.1
73,73,"Cytosol aminopeptidase family, catalytic domain","Orn/Lys/Arg decarboxylase, major domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05,1.1
72,72,"Cytosol aminopeptidase family, N-terminal domain","Orn/Lys/Arg decarboxylase, major domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05,1.1
85,85,"Cytosol aminopeptidase family, catalytic domain","Orn/Lys/Arg decarboxylase, C-terminal domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05,1.1
4771,4771,Flagellar hook-associated protein 2 C-terminus,Immunoglobulin-like domain of bacterial spore germination,2,30,22,7.056942323849616e-06,3.3125175126047336e-05,1.1
16765,16765,GW (Gly-Tryp) dipeptide domain,"Immune inhibitor A-like metallopeptidase, VEG domain",2,22,30,7.056942323849616e-06,3.3125175126047336e-05,1.1
4770,4770,Flagellar hook-associated protein 2 C-terminus,PrcB C-terminal,2,30,22,7.056942323849616e-06,3.3125175126047336e-05,1.1
4751,4751,Flagellar hook-associated protein 2 N-terminus,Immunoglobulin-like domain of bacterial spore germination,2,30,22,7.056942323849616e-06,3.3125175126047336e-05,1.1
4750,4750,Flagellar hook-associated protein 2 N-terminus,PrcB C-terminal,2,30,22,7.056942323849616e-06,3.3125175126047336e-05,1.1
16218,16218,Domain of unknown function (DUF4979),Long Rib domain,2,30,22,7.056942323849616e-06,3.3125175126047336e-05,1.1
1683,1683,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,"Glycosyl hydrolases family 2, TIM barrel domain",5,142,307,7.0842694783979154e-06,3.324590104512794e-05,1.79
8549,8549,"Linear amide C-N hydrolases, choloylglycine hydrolase family",Putative cell wall binding repeat,6,56,1390,7.102616001848045e-06,3.332443636719129e-05,1.95
15989,15989,"Bifunctional DNA primase/polymerase, N-terminal",MobA-like NTP transferase domain,4,408,50,7.131132994775925e-06,3.345064358733707e-05,1.61
1458,1458,Calx-beta domain,Fibronectin type III domain,9,413,522,7.157668136753061e-06,3.355227931617389e-05,2.3
13562,13562,NAD-dependent DNA ligase OB-fold domain,Threonyl and Alanyl tRNA synthetase second additional domain,2,37,18,7.156175531728766e-06,3.355227931617389e-05,1.1
13559,13559,NAD-dependent DNA ligase adenylation domain,Threonyl and Alanyl tRNA synthetase second additional domain,2,37,18,7.156175531728766e-06,3.355227931617389e-05,1.1
2320,2320,Kre9/KNH-like N-terminal Ig-like domain,Prealbumin-like fold domain,4,30,694,7.1686166109560895e-06,3.3588372006512364e-05,1.61
2321,2321,Malectin domain,Prealbumin-like fold domain,4,30,694,7.1686166109560895e-06,3.3588372006512364e-05,1.61
12442,12442,DNA photolyase,N-6 DNA Methylase,2,8,86,7.188807145054598e-06,3.366771581841312e-05,1.1
12436,12436,FAD binding domain of DNA photolyase,N-6 DNA Methylase,2,8,86,7.188807145054598e-06,3.366771581841312e-05,1.1
14878,14878,Putative ATP-dependent DNA helicase recG C-terminal,Restriction endonuclease,4,244,83,7.193708871547464e-06,3.368304310167276e-05,1.61
17668,17668,FAD binding domain,chorismate binding enzyme,2,48,14,7.20907494486961e-06,3.372815135108505e-05,1.1
17670,17670,Amino-transferase class IV,FAD binding domain,2,14,48,7.20907494486961e-06,3.372815135108505e-05,1.1
2499,2499,Alcohol dehydrogenase GroES-like domain,CRISPR-associated protein (Cas_Cas02710),4,72,282,7.211498627612663e-06,3.372815135108505e-05,1.61
2500,2500,CRISPR-associated protein (Cas_Cas02710),Zinc-binding dehydrogenase,4,282,72,7.211498627612663e-06,3.372815135108505e-05,1.61
17669,17669,"Anthranilate synthase component I, N terminal region",FAD binding domain,2,14,48,7.20907494486961e-06,3.372815135108505e-05,1.1
13201,13201,"Bacterial regulatory protein, Fis family",Helix-turn-helix,6,107,716,7.222185490340703e-06,3.377049511166321e-05,1.95
14273,14273,Anaphase-promoting complex subunit 4 WD40 domain,Bacterial Alpha-2-macroglobulin MG10 domain,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
10218,10218,Molybdopterin oxidoreductase,Molybdopterin oxidoreductase N-terminal domain,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
6950,6950,Carbon-nitrogen hydrolase,PHP-associated,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
6949,6949,Apolipoprotein N-acyltransferase N-terminal domain,PHP-associated,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
14267,14267,Alpha-2-macroglobulin bait region domain,Anaphase-promoting complex subunit 4 WD40 domain,2,16,42,7.256040795696847e-06,3.384460986524333e-05,1.1
14268,14268,Anaphase-promoting complex subunit 4 WD40 domain,Bacterial Alpha-2-macroglobulin MG5 domain,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
14269,14269,Anaphase-promoting complex subunit 4 WD40 domain,Bacterial alpha-2 macroglobulin MG2 domain,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
14270,14270,Anaphase-promoting complex subunit 4 WD40 domain,Bacterial macroglobulin domain 6,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
17076,17076,ATP dependent DNA ligase C terminal region,DNA gyrase B subunit insert domain,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
14272,14272,Anaphase-promoting complex subunit 4 WD40 domain,MG2 domain,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
14271,14271,Anaphase-promoting complex subunit 4 WD40 domain,Bacterial alpha-2-macroglobulin MG3 domain,2,42,16,7.256040795696847e-06,3.384460986524333e-05,1.1
11097,11097,Bacterial SH3 domain,Glycosyl hydrolase family 10,4,295,69,7.263448817842197e-06,3.3871522599576706e-05,1.61
4435,4435,Propeptide_C25,Y_Y_Y domain,4,67,304,7.267385467444468e-06,3.388223885238991e-05,1.61
1850,1850,Dockerin type I domain,"Putative binding domain, N-terminal",8,579,282,7.277383820880592e-06,3.392120497392876e-05,2.2
12998,12998,Effector-associated domain 7,"Initiator Replication protein, WH1",6,20,4247,7.287220994195058e-06,3.393645686868721e-05,1.95
6017,6017,"Initiator Rep protein, WH2",U-box domain,6,4247,20,7.287220994195055e-06,3.393645686868721e-05,1.95
6019,6019,"Initiator Replication protein, WH1",U-box domain,6,4247,20,7.287220994195055e-06,3.393645686868721e-05,1.95
13000,13000,Effector-associated domain 7,"Initiator Rep protein, WH2",6,20,4247,7.287220994195058e-06,3.393645686868721e-05,1.95
3121,3121,Stage II sporulation protein E (SpoIIE),Stage II sporulation protein E N-terminal,4,245,83,7.310371787422489e-06,3.4036603793860576e-05,1.61
10209,10209,Molybdopterin oxidoreductase Fe4S4 domain,Molydopterin dinucleotide binding domain,2,28,24,7.326484000187019e-06,3.409041947802169e-05,1.1
15558,15558,Ankyrin repeats (many copies),C2H2-type zinc finger,3,463,14,7.326876440505315e-06,3.409041947802169e-05,1.39
18361,18361,GldM C-terminal domain,Polysaccharide biosynthesis/export protein,2,12,57,7.397914214657585e-06,3.438654559611978e-05,1.1
18360,18360,GldM third domain,Polysaccharide biosynthesis/export protein,2,12,57,7.397914214657585e-06,3.438654559611978e-05,1.1
16335,16335,AMP-binding enzyme C-terminal domain,Condensation domain,2,119,6,7.398836453892581e-06,3.438654559611978e-05,1.1
18359,18359,GldM N-terminal domain,Polysaccharide biosynthesis/export protein,2,12,57,7.397914214657585e-06,3.438654559611978e-05,1.1
18362,18362,GldM second domain,Polysaccharide biosynthesis/export protein,2,12,57,7.397914214657585e-06,3.438654559611978e-05,1.1
15443,15443,Polysaccharide biosynthesis protein,Proton-conducting membrane transporter,2,26,26,7.417449128094422e-06,3.446530238687828e-05,1.1
13782,13782,BRCA1 C Terminus (BRCT) domain,CbbQ/NirQ/NorQ C-terminal,2,20,34,7.485215569813513e-06,3.474114530573154e-05,1.1
5326,5326,Glutaminase/Asparaginase C-terminal domain,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",2,20,34,7.485215569813513e-06,3.474114530573154e-05,1.1
5332,5332,"Asparaginase, N-terminal","Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",2,20,34,7.485215569813513e-06,3.474114530573154e-05,1.1
5325,5325,Glutaminase/Asparaginase C-terminal domain,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",2,20,34,7.485215569813513e-06,3.474114530573154e-05,1.1
5331,5331,"Asparaginase, N-terminal","Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",2,20,34,7.485215569813513e-06,3.474114530573154e-05,1.1
15927,15927,4Fe-4S binding domain,LAGLIDADG-like domain,3,64,97,7.501147394169534e-06,3.48072766313383e-05,1.39
6597,6597,Periplasmic sensor domain,Response regulator receiver domain,17,192,4193,7.503737407258034e-06,3.4811482694609464e-05,2.89
19067,19067,L-2-amino-thiazoline-4-carboxylic acid hydrolase,Peptidase C39 family,2,22,31,7.543031405690986e-06,3.4985926508629994e-05,1.1
10535,10535,BFD-like [2Fe-2S] binding domain,DHHC palmitoyltransferase,2,38,18,7.553262907487351e-06,3.5001953174861325e-05,1.1
2455,2455,Divergent InlB B-repeat domain,Domain of unknown function DUF11,11,1034,328,7.558276622673611e-06,3.5001953174861325e-05,2.48
17195,17195,RibD C-terminal domain,SMODS-associated and fused to various effectors sensor domain,2,18,38,7.55326290748735e-06,3.5001953174861325e-05,1.1
17197,17197,"LigD, primase-polymerase domain",SMODS-associated and fused to various effectors sensor domain,2,18,38,7.55326290748735e-06,3.5001953174861325e-05,1.1
10532,10532,"Anaphase-promoting complex, cyclosome, subunit 3",DHHC palmitoyltransferase,2,38,18,7.553262907487351e-06,3.5001953174861325e-05,1.1
1098,1098,"Diguanylate cyclase, GGDEF domain",Helix-turn-helix,31,2991,716,7.558336360485362e-06,3.5001953174861325e-05,3.47
2640,2640,Divergent InlB B-repeat domain,Putative Ig domain,11,1034,328,7.558276622673611e-06,3.5001953174861325e-05,2.48
16559,16559,PPIC-type PPIASE domain,SurA-like N-terminal domain,4,145,141,7.560033872761857e-06,3.500197500830652e-05,1.61
18469,18469,IclR helix-turn-helix domain,PilZ domain,3,244,26,7.598901180310913e-06,3.5174049631808536e-05,1.39
4056,4056,Diaminopimelate epimerase,Putative CRISPR-associated protein (Cas_VVA1548),2,16,43,7.609572691538167e-06,3.5215562789376605e-05,1.1
14425,14425,Domain of unknown function (DUF1835),"Oxidoreductase family, C-terminal alpha/beta domain",2,10,70,7.632598166430288e-06,3.5314216220022167e-05,1.1
18086,18086,S4 domain,Stage II sporulation protein E (SpoIIE),4,84,245,7.667140918472781e-06,3.546610129111e-05,1.61
7765,7765,CHC2 zinc finger,Peptidase S24-like,6,435,177,7.708581313788174e-06,3.564981789872469e-05,1.95
4027,4027,Probable transposase,Transposase,13,1430,335,7.71981388210454e-06,3.569378167269132e-05,2.64
1264,1264,Putative redox-active protein (C_GCAxxG_C_C),Sterol carrier protein domain,2,30,23,7.728176337308829e-06,3.5724458333676424e-05,1.1
100,100,Haemolysin-type calcium binding protein related domain,RTX calcium-binding nonapeptide repeat (4 copies),4,55,378,7.753553802452436e-06,3.5833757705254585e-05,1.61
450,450,HAMP domain,Recombinase zinc beta ribbon domain,16,2068,345,7.778764964528734e-06,3.594223981487388e-05,2.83
4946,4946,OmpA family,Subtilase family,9,310,704,7.817484298464208e-06,3.6113074807717697e-05,2.3
17517,17517,D5 N terminal like,IclR helix-turn-helix domain,7,482,244,7.824834878452445e-06,3.613895706539228e-05,2.08
5877,5877,Putative peptidoglycan binding domain,Trypsin,4,348,60,7.945748693324317e-06,3.6689201815959554e-05,1.61
17830,17830,Curli production assembly/transport component CsgG,Protein of unknown function (DUF3048) N-terminal domain,2,44,16,7.97149194550871e-06,3.675881778708377e-05,1.1
6195,6195,Domain of unknown function (DUF5666),Domain of unknown function (DUF5776),2,16,44,7.971491945508708e-06,3.675881778708377e-05,1.1
6189,6189,Domain of unknown function (DUF4382),Domain of unknown function (DUF5776),2,16,44,7.971491945508708e-06,3.675881778708377e-05,1.1
9109,9109,Peptidase family M28,Surface antigen variable number repeat,2,16,44,7.971491945508708e-06,3.675881778708377e-05,1.1
9110,9110,Omp85 superfamily domain,Peptidase family M28,2,44,16,7.97149194550871e-06,3.675881778708377e-05,1.1
17828,17828,Curli production assembly/transport component CsgG,Protein of unknown function (DUF3048) C-terminal domain,2,44,16,7.97149194550871e-06,3.675881778708377e-05,1.1
8964,8964,Formamidopyrimidine-DNA glycosylase H2TH domain,GAD domain,2,19,37,7.996971655384088e-06,3.682703405754495e-05,1.1
8973,8973,Zinc finger found in FPG and IleRS,"tRNA synthetases class II (D, K and N)",2,19,37,7.996971655384088e-06,3.682703405754495e-05,1.1
8974,8974,Formamidopyrimidine-DNA glycosylase N-terminal domain,"tRNA synthetases class II (D, K and N)",2,19,37,7.996971655384088e-06,3.682703405754495e-05,1.1
8972,8972,Formamidopyrimidine-DNA glycosylase H2TH domain,"tRNA synthetases class II (D, K and N)",2,19,37,7.996971655384088e-06,3.682703405754495e-05,1.1
8966,8966,Formamidopyrimidine-DNA glycosylase N-terminal domain,GAD domain,2,19,37,7.996971655384088e-06,3.682703405754495e-05,1.1
8965,8965,GAD domain,Zinc finger found in FPG and IleRS,2,37,19,7.99697165538409e-06,3.682703405754495e-05,1.1
9873,9873,Glycosyl hydrolase 108,N-acetylmuramoyl-L-alanine amidase,4,46,458,8.01803103996773e-06,3.6907575203342114e-05,1.61
9885,9885,N-acetylmuramoyl-L-alanine amidase,Predicted Peptidoglycan domain,4,458,46,8.01803103996773e-06,3.6907575203342114e-05,1.61
751,751,CRISPR-Cas9 PI domain,CRISPR-Cas9 WED domain,21,1029,1115,8.031757277656003e-06,3.696252954152975e-05,3.09
14844,14844,Flagellar Assembly Protein A beta solenoid domain,MORN repeat,2,22,32,8.045263850963249e-06,3.700821371443095e-05,1.1
14845,14845,Flagellar Assembly Protein A N-terminal region,MORN repeat,2,22,32,8.045263850963249e-06,3.700821371443095e-05,1.1
14718,14718,NHL repeat,Passenger-associated-transport-repeat,4,100,208,8.04757168782904e-06,3.701059603853226e-05,1.61
5981,5981,Bacterial Ig-like domain (group 3),"Putative binding domain, N-terminal",6,275,282,8.107781155011189e-06,3.727920634693492e-05,1.95
4889,4889,AMP-binding enzyme C-terminal domain,DHHA1 domain,4,119,175,8.117956704843324e-06,3.731769470565705e-05,1.61
16334,16334,AMP-binding enzyme,Condensation domain,2,125,6,8.166292330150397e-06,3.753154623483435e-05,1.1
6719,6719,Competence protein,Sigma-70 region 3,4,158,132,8.17536646758483e-06,3.7548390942888346e-05,1.61
9595,9595,Carbohydrate binding module (family 6),FIVAR domain,6,149,523,8.175405330796698e-06,3.7548390942888346e-05,1.95
6720,6720,Domain of unknown function (DUF4131),Sigma-70 region 3,4,158,132,8.17536646758483e-06,3.7548390942888346e-05,1.61
13192,13192,EamA-like transporter family,Excalibur calcium-binding domain,2,12,60,8.203480364524968e-06,3.766896813175278e-05,1.1
14153,14153,Anaphase-promoting complex subunit 4 WD40 domain,Gram-negative bacterial TonB protein C-terminal,2,42,17,8.22221225204532e-06,3.7738220363050185e-05,1.1
14152,14152,Anaphase-promoting complex subunit 4 WD40 domain,MORN repeat variant,2,42,17,8.22221225204532e-06,3.7738220363050185e-05,1.1
4070,4070,4-fold beta flower protein,Chitobiase/beta-hexosaminidase C-terminal domain,2,8,92,8.23202789807395e-06,3.776650562424564e-05,1.1
4066,4066,5-fold beta-flower protein,Chitobiase/beta-hexosaminidase C-terminal domain,2,8,92,8.23202789807395e-06,3.776650562424564e-05,1.1
16093,16093,D5 N terminal like,Small subunit of acetolactate synthase,3,482,14,8.260839574685921e-06,3.789027947776858e-05,1.39
1140,1140,Listeria-Bacteroides repeat domain (List_Bact_rpt),PKD domain,13,1051,458,8.34305576431274e-06,3.825041331234912e-05,2.64
3670,3670,D5 N terminal like,DnaB-like helicase C terminal domain,8,482,345,8.352156082154075e-06,3.827516208127212e-05,2.2
17951,17951,"Bifunctional DNA primase/polymerase, N-terminal",Thioesterase domain,4,408,52,8.35087248257832e-06,3.827516208127212e-05,1.61
12665,12665,Atypical Rib domain,GEVED domain,2,18,40,8.379515746086477e-06,3.838352837435314e-05,1.1
12664,12664,GEVED domain,Rib domain,2,40,18,8.379515746086477e-06,3.838352837435314e-05,1.1
3499,3499,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),RNA methyltransferase domain,2,20,36,8.404660475208956e-06,3.843909857241663e-05,1.1
3500,3500,Queuosine biosynthesis protein,RNA methyltransferase domain,2,20,36,8.404660475208956e-06,3.843909857241663e-05,1.1
17719,17719,AhpC/TSA family,Protein phosphatase 2C,2,20,36,8.404660475208956e-06,3.843909857241663e-05,1.1
12109,12109,Putative DNA-binding HTH domain,Ribosomal protein L35,2,36,20,8.404660475208955e-06,3.843909857241663e-05,1.1
16899,16899,Flagella basal body rod protein,Protein phosphatase 2C,2,20,36,8.404660475208956e-06,3.843909857241663e-05,1.1
3485,3485,Queuosine biosynthesis protein,RNA methyltransferase PUA domain,2,20,36,8.404660475208956e-06,3.843909857241663e-05,1.1
3484,3484,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),RNA methyltransferase PUA domain,2,20,36,8.404660475208956e-06,3.843909857241663e-05,1.1
15146,15146,Homeodomain,Protein of unknown function (DUF1524),2,8,93,8.412751926970726e-06,3.845909166349187e-05,1.1
15145,15145,Protein of unknown function (DUF1524),START domain,2,93,8,8.412751926970727e-06,3.845909166349187e-05,1.1
11849,11849,HIT domain,"Mur ligase family, catalytic domain",2,24,30,8.429804409143791e-06,3.847749796200137e-05,1.1
13978,13978,FIST C domain,HIT domain,2,30,24,8.429804409143793e-06,3.847749796200137e-05,1.1
8734,8734,"DNA helicase Pif1, 2B domain",NusB family,2,24,30,8.429804409143791e-06,3.847749796200137e-05,1.1
19357,19357,MaoC like domain,Squalene-hopene cyclase N-terminal domain,2,30,24,8.429804409143793e-06,3.847749796200137e-05,1.1
19359,19359,MaoC like domain,Squalene-hopene cyclase C-terminal domain,2,30,24,8.429804409143793e-06,3.847749796200137e-05,1.1
6389,6389,Glutamine amidotransferase class-I,Putative redox-active protein (C_GCAxxG_C_C),2,24,30,8.429804409143791e-06,3.847749796200137e-05,1.1
13979,13979,FIST N domain,HIT domain,2,30,24,8.429804409143793e-06,3.847749796200137e-05,1.1
13987,13987,ATP cone domain,Mur ligase middle domain,2,14,52,8.472889142178927e-06,3.864856139263925e-05,1.1
14835,14835,Prolyl oligopeptidase family,WG containing repeat,2,52,14,8.472889142178927e-06,3.864856139263925e-05,1.1
14833,14833,Prolyl oligopeptidase family,Protein of unknown function (DUF1002),2,52,14,8.472889142178927e-06,3.864856139263925e-05,1.1
12168,12168,Cyclic nucleotide-binding domain,SurA N-terminal domain,2,201,4,8.475017810134253e-06,3.864974487431539e-05,1.1
17727,17727,DOMON domain,PKD-like domain,3,33,198,8.48469619234229e-06,3.868535020265965e-05,1.39
10883,10883,Periplasmic copper-binding protein (NosD),RTX calcium-binding nonapeptide repeat (4 copies),6,207,378,8.492658469438844e-06,3.871311710154034e-05,1.95
18804,18804,Aminotransferase class-III,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",2,29,25,8.551806410984782e-06,3.897414616705584e-05,1.1
19038,19038,Periplasmic sensor domain,Protein similar to CwfJ C-terminus 2,4,192,110,8.567372712271308e-06,3.901069490676808e-05,1.61
14497,14497,CobQ/CobB/MinD/ParA nucleotide binding domain,UPF0150-like,2,33,22,8.563635821195633e-06,3.901069490676808e-05,1.1
19032,19032,Periplasmic sensor domain,Protein similar to CwfJ C-terminus 1,4,192,110,8.567372712271308e-06,3.901069490676808e-05,1.61
14496,14496,CobQ/CobB/MinD/ParA nucleotide binding domain,HicB family,2,33,22,8.563635821195633e-06,3.901069490676808e-05,1.1
718,718,Cch helix turn helix domain,Poxvirus D5 protein-like,4,76,279,8.5781942166501e-06,3.9051369840967445e-05,1.61
17738,17738,Pilin (bacterial filament),"Type IV minor pilin ComP, DNA uptake sequence receptor",2,94,8,8.595433841079404e-06,3.912123828571403e-05,1.1
3128,3128,Crp-like helix-turn-helix domain,Stage II sporulation protein E (SpoIIE),5,185,245,8.601588064287105e-06,3.914063301172193e-05,1.79
18214,18214,GIY-YIG catalytic domain,"Zinc finger, C2H2 type",2,26,28,8.625426561498427e-06,3.921458773353188e-05,1.1
8133,8133,"Glutamyl-tRNAGlu reductase, dimerisation domain",RnfC Barrel sandwich hybrid domain,2,28,26,8.625426561498427e-06,3.921458773353188e-05,1.1
8131,8131,"Glutamyl-tRNAGlu reductase, dimerisation domain",Respiratory-chain NADH dehydrogenase 51 Kd subunit,2,28,26,8.625426561498427e-06,3.921458773353188e-05,1.1
15546,15546,Bacterial type II/III secretion system short domain,CSS motif domain associated with EAL,2,26,28,8.625426561498427e-06,3.921458773353188e-05,1.1
5679,5679,APAF-1 helical domain,Putative cell wall binding repeat,5,34,1390,8.634400830940493e-06,3.9246758844000126e-05,1.79
12296,12296,"WD domain, G-beta repeat",Y_Y_Y domain,6,258,304,8.64192308036859e-06,3.9272317259951945e-05,1.95
8030,8030,Iron-sulfur binding domain of endonuclease III,"Oligopeptide/dipeptide transporter, C-terminal region",2,27,27,8.650036434063903e-06,3.930055006529099e-05,1.1
13997,13997,Nucleotide-binding C-terminal domain,"Ribonucleotide reductase, all-alpha domain",2,16,46,8.720486941789041e-06,3.960323050634132e-05,1.1
13998,13998,"Ribonucleotide reductase, all-alpha domain",Sugar-binding N-terminal domain,2,46,16,8.720486941789041e-06,3.960323050634132e-05,1.1
2626,2626,Helix-turn-helix domain of transposase family ISL3,Transposase domain (DUF772),3,102,64,8.723564951176506e-06,3.960850955104888e-05,1.39
5831,5831,GBS Bsp-like repeat,SprB repeat,4,62,345,8.75772140952731e-06,3.974660047542685e-05,1.61
6849,6849,Domain of unknown function (DUF4384),FhuF 2Fe-2S C-terminal domain,2,12,62,8.763590055011413e-06,3.974660047542685e-05,1.1
6847,6847,Domain of unknown function (DUF4384),Ferric iron reductase FhuF-like transporter,2,12,62,8.763590055011413e-06,3.974660047542685e-05,1.1
4315,4315,Predicted Permease Membrane Region,Uncharacterised protein conserved in bacteria (DUF2326),2,62,12,8.763590055011413e-06,3.974660047542685e-05,1.1
4316,4316,Cation transport protein,Predicted Permease Membrane Region,2,12,62,8.763590055011413e-06,3.974660047542685e-05,1.1
4401,4401,C-terminal lipocalin-like domain,Two component regulator propeller,4,95,224,8.788213083908231e-06,3.984953551227423e-05,1.61
6739,6739,Bacterial Ig-like domain,CHU_C Type IX secretion signal domain,8,330,508,8.844936293146627e-06,4.00979495140085e-05,2.2
19054,19054,GUN4-like,Protein kinase domain,5,60,773,8.873890941921734e-06,4.021747269348761e-05,1.79
13761,13761,50S ribosome-binding GTPase,ATPase domain predominantly from Archaea,3,195,34,8.883065885514561e-06,4.024433683496595e-05,1.39
7937,7937,Fusaric acid resistance protein-like,Sigma-70 region 2,4,16,1441,8.916897614484442e-06,4.0379915018549016e-05,1.61
7938,7938,FUSC-like inner membrane protein yccS,Sigma-70 region 2,4,16,1441,8.916897614484442e-06,4.0379915018549016e-05,1.61
11686,11686,CRISPR-associated endoribonuclease Cas6,Reverse transcriptase (RNA-dependent DNA polymerase),20,653,1632,8.97529882032826e-06,4.0635483623369264e-05,3.04
16137,16137,Bacterial EndoU nuclease,Periplasmic copper-binding protein (NosD),2,4,207,8.989416581875258e-06,4.0690491826496215e-05,1.1
17813,17813,ATPase family associated with various cellular activities (AAA),Smr domain,3,430,16,9.005412408572296e-06,4.074505741182699e-05,1.39
17814,17814,ATPase family associated with various cellular activities (AAA),MutS2 and Smr-associated SH3 domain,3,430,16,9.005412408572296e-06,4.074505741182699e-05,1.39
13611,13611,Transposase IS200 like,tRNA modifying enzyme MnmG/GidA C-terminal helical bundle,2,22,34,9.098143478427546e-06,4.113761484877463e-05,1.1
4760,4760,Flagellin hook IN motif,PrcB C-terminal,2,34,22,9.098143478427546e-06,4.113761484877463e-05,1.1
4761,4761,Flagellin hook IN motif,Immunoglobulin-like domain of bacterial spore germination,2,34,22,9.098143478427546e-06,4.113761484877463e-05,1.1
15276,15276,PPR repeat family,Tn7-like transposition protein D,4,67,322,9.10873303814738e-06,4.116749137262806e-05,1.61
15277,15277,PPR repeat,Tn7-like transposition protein D,4,67,322,9.10873303814738e-06,4.116749137262806e-05,1.61
18217,18217,C2H2-type zinc finger,NUMOD3 motif,2,14,54,9.142951452885516e-06,4.1295064917281305e-05,1.1
6553,6553,Aerotolerance regulator N-terminal,PASTA domain,2,14,54,9.142951452885516e-06,4.1295064917281305e-05,1.1
10059,10059,Domain of unknown function,Family of unknown function (DUF6273),2,14,54,9.142951452885516e-06,4.1295064917281305e-05,1.1
16041,16041,Ribonuclease R winged-helix domain,ribosomal L5P family C-terminus,2,30,25,9.161816421557305e-06,4.133902612868163e-05,1.1
