,Label1,Label2,Count
15666,Carboxypeptidase regulatory-like domain,"Mycoplasma protein of unknown function, DUF285",2
15667,Family of unknown function (DUF5906),Protein of unknown function (DUF3991),5
15668,Ftsk gamma domain,Protein of unknown function (DUF3991),2
15669,FtsK/SpoIIIE family,Protein of unknown function (DUF3991),2
15670,FtsK alpha domain,Protein of unknown function (DUF3991),2
15671,LAGLIDADG-like domain,Protein of unknown function (DUF3991),3
15672,Ftsk gamma domain,Toprim-like,2
15673,FtsK/SpoIIIE family,Toprim-like,2
15674,FtsK alpha domain,Toprim-like,2
15675,LAGLIDADG-like domain,Toprim-like,3
15676,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Glycosyl transferase family 8,2
15677,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Glycosyltransferase GT-D fold,2
15678,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Glycosyl transferase family 8,2
15679,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Glycosyltransferase GT-D fold,2
15680,Glycosyltransferase 61,His Kinase A (phospho-acceptor) domain,6
15681,His Kinase A (phospho-acceptor) domain,STK_08120-like,2
15682,Glycosyltransferase 61,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",8
15683,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",STK_08120-like,2
15684,OB-fold nucleic acid binding domain,TnsA endonuclease C terminal,2
15685,Helix-hairpin-helix motif,TnsA endonuclease C terminal,2
15686,CRISPR-associated endoribonuclease Cas6,TnsA endonuclease C terminal,3
15687,OB-fold nucleic acid binding domain,TnsA-like endonuclease N terminal,2
15688,Helix-hairpin-helix motif,TnsA-like endonuclease N terminal,2
15689,CRISPR-associated endoribonuclease Cas6,TnsA-like endonuclease N terminal,3
15690,HicB family,LysR substrate binding domain,2
15691,LysR substrate binding domain,UPF0150-like,2
15692,"Bacterial regulatory helix-turn-helix protein, lysR family",HicB family,2
15693,"Bacterial regulatory helix-turn-helix protein, lysR family",UPF0150-like,2
15694,Domain of unknonw function from B. Theta Gene description (DUF3874),LysR substrate binding domain,2
15695,"BT4734-like, N-terminal domain",LysR substrate binding domain,2
15696,LysR substrate binding domain,Virulence-associated protein E-like domain,2
15697,"Bacterial regulatory helix-turn-helix protein, lysR family",Domain of unknonw function from B. Theta Gene description (DUF3874),2
15698,"BT4734-like, N-terminal domain","Bacterial regulatory helix-turn-helix protein, lysR family",2
15699,"Bacterial regulatory helix-turn-helix protein, lysR family",Virulence-associated protein E-like domain,2
15700,MerR HTH family regulatory protein,MerR HTH family regulatory protein,2
15701,MerR HTH family regulatory protein,Protein of unknown function (DUF3967),4
15702,Protein of unknown function (DUF3967),Protein of unknown function (DUF3967),2
15703,LytTr DNA-binding domain,Stage II sporulation protein E N-terminal,3
15704,LytTr DNA-binding domain,Stage II sporulation protein E (SpoIIE),3
15705,"Bacterial regulatory helix-turn-helix protein, lysR family",Bacterial type II/III secretion system short domain,2
15706,"Bacterial regulatory helix-turn-helix protein, lysR family",Secretin and TonB N terminus short domain,2
15707,"Bacterial regulatory helix-turn-helix protein, lysR family",Bacterial type II and III secretion system protein,2
15708,"Bacterial regulatory helix-turn-helix protein, lysR family",Sigma-54 interaction domain,4
15709,Bacterial type II/III secretion system short domain,LysR substrate binding domain,2
15710,LysR substrate binding domain,Secretin and TonB N terminus short domain,2
15711,Bacterial type II and III secretion system protein,LysR substrate binding domain,2
15712,LysR substrate binding domain,Sigma-54 interaction domain,4
15713,"Bifunctional DNA primase/polymerase, N-terminal",MCM AAA-lid domain,2
15714,"Bifunctional DNA primase/polymerase, N-terminal",MCM P-loop domain,2
15715,"Bifunctional DNA primase/polymerase, N-terminal",MCM OB domain,2
15716,AAA domain,MCM AAA-lid domain,2
15717,AAA domain,MCM P-loop domain,2
15718,AAA domain,MCM OB domain,2
15719,Flagellar hook capping protein - N-terminal region,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2
15720,Flagellar hook capping protein - N-terminal region,"Galactose oxidase, central domain",2
15721,FlgD Ig-like domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2
15722,FlgD Tudor-like domain,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2
15723,FlgD Tudor-like domain,"Galactose oxidase, central domain",2
15724,"CAAX prenyl protease N-terminal, five membrane helices",Competence protein,2
15725,"CAAX prenyl protease N-terminal, five membrane helices",Domain of unknown function (DUF4131),2
15726,"CAAX prenyl protease N-terminal, five membrane helices","Sigma-70 factor, region 1.2",2
15727,Competence protein,Peptidase family M48,2
15728,Domain of unknown function (DUF4131),Peptidase family M48,2
15729,Peptidase family M48,"Sigma-70 factor, region 1.2",2
15730,Cna protein B-type domain,D-alanyl-D-alanine carboxypeptidase,2
15731,Cna protein B-type domain,Ig-like domain from next to BRCA1 gene,2
15732,C-terminus of bacterial fibrinogen-binding adhesin,Cna protein B-type domain,2
15733,Cna protein B-type domain,Putative Ig domain,3
15734,Collagen binding domain,von Willebrand factor type A domain,4
15735,Collagen binding domain,D-alanyl-D-alanine carboxypeptidase,2
15736,Collagen binding domain,RHS Repeat,6
15737,Collagen binding domain,Ig-like domain from next to BRCA1 gene,2
15738,Collagen binding domain,SdrD B-like domain,2
15739,Collagen binding domain,Domain of unknown function (DUF6531),2
15740,Collagen binding domain,Putative Ig domain,2
15741,Collagen binding domain,RHS protein,2
15742,AAA domain,Cyclic nucleotide-binding domain,5
15743,AAA domain,Crp-like helix-turn-helix domain,4
15744,AAA domain,Histidine kinase,2
15745,"Bacterial regulatory proteins, luxR family","SbcC/RAD50-like, Walker B motif",2
15746,Cyclic nucleotide-binding domain,"SbcC/RAD50-like, Walker B motif",2
15747,Crp-like helix-turn-helix domain,"SbcC/RAD50-like, Walker B motif",2
15748,Histidine kinase,"SbcC/RAD50-like, Walker B motif",2
15749,PAS domain,"SbcC/RAD50-like, Walker B motif",3
15750,Ribosomal L25p family,Toprim domain,2
15751,CHC2 zinc finger,Ribosomal L25p family,4
15752,Protein of unknown function (DUF3987),Ribosomal L25p family,2
15753,"Ribosomal protein TL5, C-terminal domain",Toprim domain,2
15754,CHC2 zinc finger,"Ribosomal protein TL5, C-terminal domain",4
15755,Protein of unknown function (DUF3987),"Ribosomal protein TL5, C-terminal domain",2
15756,Bacterial Alpha amylase C-terminal domain,Helix-turn-helix,2
15757,Bacterial Alpha amylase C-terminal domain,Glycosyl hydrolases family 18,2
15758,Bacterial Alpha amylase C-terminal domain,Metallo-beta-lactamase superfamily,2
15759,Bacterial Alpha amylase C-terminal domain,Secretion system C-terminal sorting domain,2
15760,"Alpha amylase, catalytic domain",Helix-turn-helix,2
15761,"Alpha amylase, catalytic domain",Glycosyl hydrolases family 18,2
15762,Passenger-associated-transport-repeat,YDG domain,3
15763,Divergent InlB B-repeat domain,Passenger-associated-transport-repeat,3
15764,FG-GAP-like repeat,Passenger-associated-transport-repeat,4
15765,Autotransporter beta-domain,FG-GAP-like repeat,5
15766,DEAD_2,Helicase C-terminal domain,18
15767,DEAD_2,Reverse transcriptase (RNA-dependent DNA polymerase),4
15768,DEAD_2,"Group II intron, maturase-specific domain",4
15769,DEAD_2,HNH endonuclease,2
15770,DEAD_2,DEAD_2,2
15771,AAA domain,Tn7-like transposition protein D,6
15772,AAA domain,TniQ,6
15773,"DNA polymerase III beta subunit, N-terminal domain",Nudix N-terminal,2
15774,"DNA polymerase III beta subunit, N-terminal domain",NADH pyrophosphatase zinc ribbon domain,2
15775,Putative transposase DNA-binding domain,Retroviral aspartyl protease,5
15776,Probable transposase,Retroviral aspartyl protease,5
15777,BED zinc finger,Histidine kinase,2
15778,Histidine kinase,Protein of unknown function (DUF 659),2
15779,Histidine kinase,MalT-like TPR region,4
15780,BED zinc finger,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2
15781,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Protein of unknown function (DUF 659),2
15782,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",MalT-like TPR region,4
15783,Endonuclease/Exonuclease/phosphatase family,Putative cell wall binding repeat,1
15784,Endonuclease/Exonuclease/phosphatase family,S-layer homology domain,2
15785,Endonuclease/Exonuclease/phosphatase family,Subtilase family,4
15786,CARDB,Endonuclease/Exonuclease/phosphatase family,2
15787,Endonuclease/Exonuclease/phosphatase family,FlgD Ig-like domain,2
15788,Endonuclease/Exonuclease/phosphatase family,Putative glucoamylase,2
15789,Endonuclease/Exonuclease/phosphatase family,Propeptide_C25,2
15790,Endonuclease/Exonuclease/phosphatase family,Peptidase family C25,2
15791,Putative glucoamylase,S-layer homology domain,3
15792,Propeptide_C25,S-layer homology domain,4
15793,Peptidase family C25,S-layer homology domain,6
15794,"5'-nucleotidase, C-terminal domain",Putative cell wall binding repeat,1
15795,"5'-nucleotidase, C-terminal domain",S-layer homology domain,2
15796,"5'-nucleotidase, C-terminal domain",Subtilase family,4
15797,"5'-nucleotidase, C-terminal domain",CARDB,2
15798,"5'-nucleotidase, C-terminal domain",FlgD Ig-like domain,2
15799,"5'-nucleotidase, C-terminal domain",Putative glucoamylase,2
15800,"5'-nucleotidase, C-terminal domain",Propeptide_C25,2
15801,"5'-nucleotidase, C-terminal domain",Peptidase family C25,2
15802,Calcineurin-like phosphoesterase,S-layer homology domain,2
15803,Calcineurin-like phosphoesterase,Subtilase family,5
15804,CARDB,Calcineurin-like phosphoesterase,2
15805,Calcineurin-like phosphoesterase,FlgD Ig-like domain,3
15806,Calcineurin-like phosphoesterase,Putative glucoamylase,2
15807,Calcineurin-like phosphoesterase,Propeptide_C25,2
15808,Calcineurin-like phosphoesterase,Peptidase family C25,2
15809,Domain of unknown function (DUF6359),Putative cell wall binding repeat,1
15810,Domain of unknown function (DUF6359),S-layer homology domain,2
15811,Domain of unknown function (DUF6359),Subtilase family,4
15812,CARDB,Domain of unknown function (DUF6359),2
15813,Domain of unknown function (DUF6359),FlgD Ig-like domain,2
15814,Domain of unknown function (DUF6359),Putative glucoamylase,2
15815,Domain of unknown function (DUF6359),Propeptide_C25,2
15816,Domain of unknown function (DUF6359),Peptidase family C25,2
15817,Cellulase (glycosyl hydrolase family 5),"Membrane-bound lytic murein transglycosylase C, N-terminal domain",1
15818,"Membrane-bound lytic murein transglycosylase C, N-terminal domain","Putative binding domain, N-terminal",1
15819,Cellulase (glycosyl hydrolase family 5),Transglycosylase SLT domain,1
15820,"Putative binding domain, N-terminal",Transglycosylase SLT domain,1
15821,"Cation transporter/ATPase, N-terminus",Domain of unknown function (DUF4220),2
15822,"Cation transporter/ATPase, N-terminus","Protein of unknown function, DUF594",2
15823,"Cation transporter/ATPase, N-terminus",Domain of unknown function (DUF4118),2
15824,"Cation transporting ATPase, C-terminus",Domain of unknown function (DUF4220),2
15825,"Cation transporting ATPase, C-terminus","Protein of unknown function, DUF594",2
15826,"Cation transporting ATPase, C-terminus",Domain of unknown function (DUF4118),2
15827,Domain of unknown function (DUF4220),E1-E2 ATPase,2
15828,E1-E2 ATPase,"Protein of unknown function, DUF594",2
15829,Domain of unknown function (DUF4118),E1-E2 ATPase,2
15830,Domain of unknown function (DUF4220),haloacid dehalogenase-like hydrolase,2
15831,"Protein of unknown function, DUF594",haloacid dehalogenase-like hydrolase,2
15832,Domain of unknown function (DUF4118),haloacid dehalogenase-like hydrolase,2
15833,OB-fold nucleic acid binding domain,UvrD/REP helicase N-terminal domain,2
15834,"DNA polymerase III subunit alpha, C-terminal domain",UvrD/REP helicase N-terminal domain,2
15835,Protein of unknown function (DUF3987),UvrD/REP helicase N-terminal domain,2
15836,"Bifunctional DNA primase/polymerase, N-terminal",UvrD/REP helicase N-terminal domain,2
15837,"DNA polymerase III subunit alpha, C-terminal domain",UvrD-like helicase C-terminal domain,2
15838,Protein of unknown function (DUF3987),UvrD-like helicase C-terminal domain,3
15839,"Bifunctional DNA primase/polymerase, N-terminal",UvrD-like helicase C-terminal domain,3
15840,"Glutathione S-transferase, N-terminal domain",XdhC Rossmann domain,2
15841,"Glutathione S-transferase, N-terminal domain",XdhC and CoxI family,2
15842,AAA domain,"Glutathione S-transferase, N-terminal domain",2
15843,"Glutathione S-transferase, N-terminal domain",RNA ligase,2
15844,Calcineurin-like phosphoesterase,"Glutathione S-transferase, N-terminal domain",2
15845,"Glutathione S-transferase, N-terminal domain","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",2
15846,"Glutathione S-transferase, N-terminal domain","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",2
15847,"Glutathione S-transferase, C-terminal domain",XdhC Rossmann domain,2
15848,"Glutathione S-transferase, C-terminal domain",XdhC and CoxI family,2
15849,AAA domain,"Glutathione S-transferase, C-terminal domain",2
15850,"Glutathione S-transferase, C-terminal domain",RNA ligase,2
15851,Calcineurin-like phosphoesterase,"Glutathione S-transferase, C-terminal domain",2
15852,"Glutathione S-transferase, C-terminal domain","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",2
15853,"Glutathione S-transferase, C-terminal domain","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",2
15854,Protein kinase domain,TPR repeat,6
15855,SprB repeat,Viral BACON domain,3
15856,SprB repeat,YDG domain,3
15857,Hint domain,SprB repeat,4
15858,HYR domain,SdrD B-like domain,1
15859,Cadherin domain,HYR domain,4
15860,Calx-beta domain,HYR domain,4
15861,HYR domain,Viral BACON domain,3
15862,HYR domain,YDG domain,3
15863,HYR domain,Hint domain,2
15864,SdrD B-like domain,Secretion system C-terminal sorting domain,1
15865,Cadherin domain,Secretion system C-terminal sorting domain,2
15866,Calx-beta domain,Secretion system C-terminal sorting domain,26
15867,Hint domain,Secretion system C-terminal sorting domain,2
15868,LytTr DNA-binding domain,Zincin-like metallopeptidase,4
15869,LytTr DNA-binding domain,N-terminal domain of anti-restriction factor ArdC,4
15870,Apolipoprotein N-acyltransferase N-terminal domain,Middle or third domain of peptidase_M16,1
15871,Apolipoprotein N-acyltransferase N-terminal domain,Peptidase M16 inactive domain,1
15872,Carbon-nitrogen hydrolase,Middle or third domain of peptidase_M16,1
15873,Carbon-nitrogen hydrolase,Peptidase M16 inactive domain,1
15874,"Diguanylate cyclase, GGDEF domain",Recombinase zinc beta ribbon domain,4
15875,GAF domain,Recombinase zinc beta ribbon domain,7
15876,EAL domain,Recombinase zinc beta ribbon domain,2
15877,Helix-hairpin-helix motif,Response regulator receiver domain,4
15878,Helix-hairpin-helix motif,PilZ domain,2
15879,"Bacterial regulatory proteins, luxR family",Helix-hairpin-helix motif,2
15880,Response regulator receiver domain,SLBB domain,4
15881,PilZ domain,SLBB domain,2
15882,"Bacterial regulatory proteins, luxR family",SLBB domain,2
15883,AMIN domain,N-acetylmuramoyl-L-alanine amidase,6
15884,AMIN domain,AMIN domain,2
15885,AMIN domain,Serpin (serine protease inhibitor),4
15886,AMIN domain,Cellulose or protein binding domain,4
15887,N-acetylmuramoyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase,4
15888,N-acetylmuramoyl-L-alanine amidase,Serpin (serine protease inhibitor),4
15889,Cellulose or protein binding domain,N-acetylmuramoyl-L-alanine amidase,10
15890,D-alanyl-D-alanine carboxypeptidase,Helix-turn-helix,1
15891,Helix-turn-helix,"Penicillin-binding protein 5, C-terminal domain",1
15892,D-alanyl-D-alanine carboxypeptidase,Glycosyl hydrolases family 18,1
15893,Glycosyl hydrolases family 18,"Penicillin-binding protein 5, C-terminal domain",1
15894,P22AR C-terminal domain,P22AR C-terminal domain,2
15895,"BRO family, N-terminal domain",P22AR C-terminal domain,2
15896,ORF6C domain,P22AR C-terminal domain,3
15897,P22AR C-terminal domain,P22_AR N-terminal domain,2
15898,Family of unknown function (DUF6596),"Resolvase, N terminal domain",2
15899,"Resolvase, N terminal domain",Sigma-70 region 2,2
15900,"Resolvase, N terminal domain","Sigma-70, region 4",2
15901,Family of unknown function (DUF6596),Helix-turn-helix domain of resolvase,2
15902,Helix-turn-helix domain of resolvase,Sigma-70 region 2,2
15903,Helix-turn-helix domain of resolvase,"Sigma-70, region 4",2
15904,Helix-turn-helix domain of resolvase,Helix-turn-helix domain of resolvase,2
15905,Mur ligase middle domain,YjeF-related protein N-terminus,2
15906,"Mur ligase family, catalytic domain",YjeF-related protein N-terminus,2
15907,Carbohydrate kinase,Mur ligase middle domain,2
15908,Carbohydrate kinase,"Mur ligase family, catalytic domain",2
15909,CRISPR associated protein Cas1,Transposase,3
15910,4Fe-4S dicluster domain,NFACT protein RNA binding domain,2
15911,4Fe-4S dicluster domain,NFACT N-terminal and middle domains,2
15912,4Fe-4S dicluster domain,"Iron only hydrogenase large subunit, C-terminal domain",1
15913,2Fe-2S iron-sulfur cluster binding domain,4Fe-4S dicluster domain,1
15914,4Fe-4S dicluster domain,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region,1
15915,4Fe-4S dicluster domain,LAGLIDADG-like domain,3
15916,4Fe-4S dicluster domain,Rad51,2
15917,4Fe-4S dicluster domain,Intein splicing domain,2
15918,4Fe-4S dicluster domain,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain",3
15919,4Fe-4S dicluster domain,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain",3
15920,4Fe-4S dicluster domain,"RNA polymerase Rpb1, domain 7",1
15921,4Fe-4S dicluster domain,"RNA polymerase Rpb1, domain 5",1
15922,4Fe-4S binding domain,NFACT protein RNA binding domain,2
15923,4Fe-4S binding domain,NFACT N-terminal and middle domains,2
15924,4Fe-4S binding domain,"Iron only hydrogenase large subunit, C-terminal domain",1
15925,2Fe-2S iron-sulfur cluster binding domain,4Fe-4S binding domain,1
15926,4Fe-4S binding domain,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region,1
15927,4Fe-4S binding domain,LAGLIDADG-like domain,3
15928,4Fe-4S binding domain,Rad51,2
15929,4Fe-4S binding domain,Intein splicing domain,2
15930,4Fe-4S binding domain,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain",3
15931,4Fe-4S binding domain,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain",3
15932,4Fe-4S binding domain,"RNA polymerase Rpb1, domain 7",1
15933,4Fe-4S binding domain,"RNA polymerase Rpb1, domain 5",1
15934,"Alanine dehydrogenase/PNT, C-terminal domain",Methyltransferase small domain N-terminal,2
15935,"Alanine dehydrogenase/PNT, N-terminal domain",Methyltransferase small domain N-terminal,2
15936,"Alanine dehydrogenase/PNT, C-terminal domain",Methyltransferase small domain,2
15937,"Alanine dehydrogenase/PNT, N-terminal domain",Methyltransferase small domain,2
15938,LPXTG cell wall anchor motif,Sulfatase-modifying factor enzyme 1,2
15939,MBG domain (YGX type),Transglutaminase-like superfamily,2
15940,Concanavalin A-like lectin/glucanases superfamily,MBG domain (YGX type),2
15941,KxYKxGKxW signal peptide,Transglutaminase-like superfamily,2
15942,Concanavalin A-like lectin/glucanases superfamily,KxYKxGKxW signal peptide,2
15943,MucBP domain,Transglutaminase-like superfamily,2
15944,MucBP domain,YDG domain,2
15945,MucBP domain,Sulfatase-modifying factor enzyme 1,2
15946,MBG domain,Transglutaminase-like superfamily,2
15947,MBG domain,YDG domain,2
15948,MBG domain,Sulfatase-modifying factor enzyme 1,2
15949,Concanavalin A-like lectin/glucanases superfamily,MBG domain,2
15950,Cyclic nucleotide-binding domain,MutL C terminal dimerisation domain,2
15951,Crp-like helix-turn-helix domain,MutL C terminal dimerisation domain,2
15952,CbbQ/NirQ/NorQ C-terminal,MutL C terminal dimerisation domain,2
15953,AAA domain (dynein-related subfamily),MutL C terminal dimerisation domain,2
15954,Cyclic nucleotide-binding domain,"DNA mismatch repair protein, C-terminal domain",2
15955,Crp-like helix-turn-helix domain,"DNA mismatch repair protein, C-terminal domain",2
15956,CbbQ/NirQ/NorQ C-terminal,"DNA mismatch repair protein, C-terminal domain",2
15957,AAA domain (dynein-related subfamily),"DNA mismatch repair protein, C-terminal domain",2
15958,D-alanyl-D-alanine carboxypeptidase,Spy0128-like isopeptide containing domain,2
15959,Ig-like domain from next to BRCA1 gene,Spy0128-like isopeptide containing domain,2
15960,C-terminus of bacterial fibrinogen-binding adhesin,Spy0128-like isopeptide containing domain,2
15961,Putative Ig domain,Spy0128-like isopeptide containing domain,3
15962,D-alanyl-D-alanine carboxypeptidase,von Willebrand factor type A domain,2
15963,Ig-like domain from next to BRCA1 gene,von Willebrand factor type A domain,2
15964,Bacterial Ig domain,von Willebrand factor type A domain,7
15965,C-terminus of bacterial fibrinogen-binding adhesin,von Willebrand factor type A domain,2
15966,Putative Ig domain,von Willebrand factor type A domain,2
15967,Domain of unknown function (DUF5801),von Willebrand factor type A domain,1
15968,RTX calcium-binding nonapeptide repeat (4 copies),von Willebrand factor type A domain,1
15969,Domain of unknown function DUF83,Transposase,1
15970,CobQ/CobB/MinD/ParA nucleotide binding domain,Domain of unknown function (DUF6457),1
15971,Domain of unknown function (DUF6457),HSP20-like domain found in ArsA,1
15972,Domain of unknown function (DUF6457),Protein of unknown function (DUF3987),2
15973,"Bifunctional DNA primase/polymerase, N-terminal",Domain of unknown function (DUF6457),4
15974,Domain of unknown function (DUF6457),Family of unknown function (DUF5906),2
15975,D5 N terminal like,Domain of unknown function (DUF6457),2
15976,50S ribosome-binding GTPase,Domain of unknown function (DUF6457),2
15977,Domain of unknown function (DUF3482),Domain of unknown function (DUF6457),2
15978,Aminotransferase class-III,CobQ/CobB/MinD/ParA nucleotide binding domain,1
15979,Aminotransferase class-III,HSP20-like domain found in ArsA,1
15980,Aminotransferase class-III,Protein of unknown function (DUF3987),2
15981,Aminotransferase class-III,"Bifunctional DNA primase/polymerase, N-terminal",4
15982,Aminotransferase class-III,Family of unknown function (DUF5906),2
15983,Aminotransferase class-III,D5 N terminal like,2
15984,50S ribosome-binding GTPase,Aminotransferase class-III,2
15985,Aminotransferase class-III,Domain of unknown function (DUF3482),2
15986,CobQ/CobB/MinD/ParA nucleotide binding domain,MobA-like NTP transferase domain,1
15987,HSP20-like domain found in ArsA,MobA-like NTP transferase domain,1
15988,MobA-like NTP transferase domain,Protein of unknown function (DUF3987),2
15989,"Bifunctional DNA primase/polymerase, N-terminal",MobA-like NTP transferase domain,4
15990,Family of unknown function (DUF5906),MobA-like NTP transferase domain,2
15991,D5 N terminal like,MobA-like NTP transferase domain,2
15992,50S ribosome-binding GTPase,MobA-like NTP transferase domain,2
15993,Domain of unknown function (DUF3482),MobA-like NTP transferase domain,2
15994,Cadherin domain,RTX calcium-binding nonapeptide repeat (4 copies),1
15995,Calx-beta domain,RTX calcium-binding nonapeptide repeat (4 copies),1
15996,Concanavalin A-like lectin/glucanases superfamily,RTX calcium-binding nonapeptide repeat (4 copies),2
15997,Fibrobacter succinogenes major domain (Fib_succ_major),RTX calcium-binding nonapeptide repeat (4 copies),2
15998,Carbohydrate binding domain X2,RTX calcium-binding nonapeptide repeat (4 copies),2
15999,Atrophied bacterial Ig domain,RTX calcium-binding nonapeptide repeat (4 copies),2
16000,CHU_C Type IX secretion signal domain,Peptidase M10 serralysin C terminal,2
16001,Cadherin domain,Peptidase M10 serralysin C terminal,1
16002,Calx-beta domain,Peptidase M10 serralysin C terminal,1
16003,Bacterial Ig domain,Peptidase M10 serralysin C terminal,3
16004,Concanavalin A-like lectin/glucanases superfamily,Peptidase M10 serralysin C terminal,2
16005,HYR domain,Peptidase M10 serralysin C terminal,2
16006,Nidogen-like,Peptidase M10 serralysin C terminal,2
16007,PKD domain,Peptidase M10 serralysin C terminal,2
16008,Fibrobacter succinogenes major domain (Fib_succ_major),Peptidase M10 serralysin C terminal,2
16009,Bacterial lectin,Peptidase M10 serralysin C terminal,1
16010,Carbohydrate binding domain X2,Peptidase M10 serralysin C terminal,2
16011,Peptidase M10 serralysin C terminal,S-layer homology domain,2
16012,Atrophied bacterial Ig domain,Peptidase M10 serralysin C terminal,2
16013,CHU_C Type IX secretion signal domain,Domain of unknown function (DUF4214),2
16014,Cadherin domain,Domain of unknown function (DUF4214),1
16015,Calx-beta domain,Domain of unknown function (DUF4214),1
16016,Bacterial Ig domain,Domain of unknown function (DUF4214),3
16017,Concanavalin A-like lectin/glucanases superfamily,Domain of unknown function (DUF4214),2
16018,Domain of unknown function (DUF4214),HYR domain,2
16019,Domain of unknown function (DUF4214),Nidogen-like,2
16020,Domain of unknown function (DUF4214),PKD domain,2
16021,Domain of unknown function (DUF4214),Fibrobacter succinogenes major domain (Fib_succ_major),2
16022,Bacterial lectin,Domain of unknown function (DUF4214),1
16023,Carbohydrate binding domain X2,Domain of unknown function (DUF4214),2
16024,Domain of unknown function (DUF4214),S-layer homology domain,2
16025,Atrophied bacterial Ig domain,Domain of unknown function (DUF4214),2
16026,Cadherin domain,Metallo-peptidase family M12B Reprolysin-like,1
16027,Calx-beta domain,Metallo-peptidase family M12B Reprolysin-like,1
16028,Bacterial Ig domain,Metallo-peptidase family M12B Reprolysin-like,3
16029,Concanavalin A-like lectin/glucanases superfamily,Metallo-peptidase family M12B Reprolysin-like,2
16030,Metallo-peptidase family M12B Reprolysin-like,Nidogen-like,2
16031,Fibrobacter succinogenes major domain (Fib_succ_major),Metallo-peptidase family M12B Reprolysin-like,2
16032,Bacterial lectin,Metallo-peptidase family M12B Reprolysin-like,1
16033,Carbohydrate binding domain X2,Metallo-peptidase family M12B Reprolysin-like,2
16034,Metallo-peptidase family M12B Reprolysin-like,S-layer homology domain,2
16035,Atrophied bacterial Ig domain,Metallo-peptidase family M12B Reprolysin-like,2
16036,Ribonuclease B OB domain,Ribosomal protein L5,2
16037,Ribonuclease B OB domain,ribosomal L5P family C-terminus,2
16038,AAA ATPase domain,Ribonuclease B OB domain,2
16039,"CDC6, C terminal winged helix domain",Ribonuclease B OB domain,2
16040,Ribonuclease R winged-helix domain,Ribosomal protein L5,2
16041,Ribonuclease R winged-helix domain,ribosomal L5P family C-terminus,2
16042,AAA ATPase domain,Ribonuclease R winged-helix domain,2
16043,"CDC6, C terminal winged helix domain",Ribonuclease R winged-helix domain,2
16044,Bacterial type II/III secretion system short domain,Sigma-54 interaction domain,2
16045,Bacterial type II/III secretion system short domain,Response regulator receiver domain,2
16046,Secretin and TonB N terminus short domain,Sigma-54 interaction domain,2
16047,Response regulator receiver domain,Secretin and TonB N terminus short domain,2
16048,Bacterial type II and III secretion system protein,Sigma-54 interaction domain,2
16049,Bacterial type II and III secretion system protein,Response regulator receiver domain,2
16050,AraC-like ligand binding domain,CHAT domain,2
16051,CHAT domain,Helix-turn-helix domain,4
16052,CHAT domain,EAL domain,3
16053,CHAT domain,Response regulator receiver domain,4
16054,AraC-like ligand binding domain,Tetratricopeptide repeat,3
16055,EAL domain,Tetratricopeptide repeat,6
16056,Topoisomerase C-terminal repeat,Toprim domain,3
16057,DNA topoisomerase,Topoisomerase C-terminal repeat,3
16058,"Initiator Replication protein, WH1",MuDR family transposase,1
16059,"Initiator Replication protein, WH1",MULE transposase domain,1
16060,"Initiator Rep protein, WH2",MuDR family transposase,1
16061,"Initiator Rep protein, WH2",MULE transposase domain,1
16062,N-terminal domain of M60-like peptidases,TPR repeat,2
16063,N-terminal domain of M60-like peptidases,Sulfatase-modifying factor enzyme 1,2
16064,3-keto-disaccharide hydrolase,N-terminal domain of M60-like peptidases,2
16065,Cytochrome c,N-terminal domain of M60-like peptidases,2
16066,"Peptidase M60, enhancin and enhancin-like",TPR repeat,2
16067,"Peptidase M60, enhancin and enhancin-like",Sulfatase-modifying factor enzyme 1,2
16068,3-keto-disaccharide hydrolase,"Peptidase M60, enhancin and enhancin-like",2
16069,Cytochrome c,"Peptidase M60, enhancin and enhancin-like",2
16070,7TM diverse intracellular signalling,Histidine kinase,2
16071,Protein of unknown function (DUF1499),Short C-terminal domain,2
